,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
32,2026-03-18,SH600031,0.02082107774913311,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
33,2026-03-18,SH600030,-0.040879473090171814,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
34,2026-03-18,SH600029,0.10909029096364975,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
35,2026-03-18,SH600028,0.0006326981820166111,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
36,2026-03-18,SH600027,0.05180773138999939,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
37,2026-03-18,SH600026,-0.018262077122926712,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
38,2026-03-18,SH600025,0.02071402780711651,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
39,2026-03-18,SH600019,-0.025635862722992897,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
40,2026-03-18,SH600115,0.14960265159606934,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
41,2026-03-18,SZ300661,0.030088145285844803,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
42,2026-03-18,SZ300502,-0.025192521512508392,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
43,2026-03-18,SZ002920,0.025380972772836685,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
44,2026-03-18,SZ002916,0.0399378165602684,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
45,2026-03-18,SZ002736,-0.013488858938217163,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
46,2026-03-18,SZ002714,-0.008159724064171314,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
47,2026-03-18,SZ002709,0.05071752890944481,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
48,2026-03-18,SZ002648,-0.0023408220149576664,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
